"dataset","id","trt","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40"
1,18,1,7.093,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,6.92,79.94,7.95,57.49,84.57,72.94,19.4,52.07,85.67,8.69,32.55,75.06,2.39,92.56,75.8,49.56,19.01,53.62,60.13,87.01
1,19,1,6.807,1,1,0,0,1,1,1,1,2,1,2,1,1,1,2,2,0,0,0,0,9.64,28.47,86.55,71.61,27.09,82.35,63.74,39.76,8.5,50.02,27.61,1.18,77.32,44.51,40.57,65.92,63.49,72.3,77.98,77.36
1,20,1,7.728,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,2,0,0,1,1,7.62,79.08,57.36,89.28,47.29,76.92,4.12,64.74,96.98,9.16,9.43,84.61,94.71,66.13,7.89,69.92,19.72,88.47,72.37,46.95
1,21,1,8.625,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,2,20.04,86.89,36.19,75.43,4.09,1.01,22.4,51.08,70.06,29.76,46.29,40.37,14.48,9.83,0.33,73.13,96.99,7.75,52.8,50.13
1,22,0,6.844,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,36.76,8.88,84.01,74.21,2.44,82.96,35.03,15.03,79.28,82.22,15.86,76.18,69.53,40.38,4.75,26.09,45.21,79.45,8.71,40.92
1,23,1,4.918,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,83.63,64.18,87.7,16.2,24.71,80.61,29.62,66.11,5.79,43.27,45.87,32.1,96.4,41.07,4.85,80.99,67.98,65.65,43.59,97.67
1,24,0,7.141,1,0,1,1,1,2,1,1,2,2,1,0,1,1,0,2,0,0,0,0,3.17,85.96,87.9,36.78,13.15,46.97,16.03,47.94,56.05,9.54,98.71,52.58,36.7,56.24,29.57,65.56,8.71,68.44,15.39,51.81
1,25,0,6.909,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,71.13,5.67,35.39,12,17.62,97.99,82.05,52.06,2.58,11.49,37.86,51.29,92.51,37.62,94.25,12.02,24.18,22.85,50.58,60.62
1,26,1,8.667,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,2,2,64.02,82.18,16.3,97.76,20.86,82.38,6.52,82.7,65.56,81.78,7.11,81.21,27.1,91.33,66.56,76.16,64.38,9.79,18.56,78.37
1,27,1,7.017,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,38.7,52.2,33.91,77.58,96.01,93.78,18.92,68.94,80.34,74.13,34.62,7.7,35.33,10.43,14.53,89.22,80.84,36.62,35.29,63.07
1,28,1,5.329,2,2,1,1,0,0,2,1,2,2,0,0,0,1,0,0,1,1,1,1,63.57,77.61,1.76,23.1,36.05,96.09,73.46,62.1,42.76,57.59,62.2,55.46,20.36,41.16,8.18,99.13,71.73,50.08,62.03,33.53
1,29,1,8.079,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,28.11,85.55,79.83,52.56,62.69,12.49,99.14,83.32,2.11,31.46,88.92,46.61,52.34,84.91,56.1,30.7,15.21,66.91,19.24,65.34
1,30,0,6.903,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,83.28,27.69,61.29,15.48,13.26,94.18,59.52,95.62,7.36,12.13,12.38,8.52,38.28,83.12,76.9,12.14,7.13,28.12,46.79,57.03
1,31,1,8.222,0,0,2,1,0,0,2,2,0,0,0,0,2,1,0,0,0,0,1,0,3.47,24.86,12.09,60.7,54.88,78.49,54.05,87.06,48.59,59.83,58.05,65.41,97.13,93.16,1.26,95.21,0.63,76.47,24.56,16.4
1,32,1,6.539,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,28.53,83.23,67.45,37.74,43.05,47.76,74.25,21.96,12.99,41.74,77.14,32.31,51.49,13.79,54.54,46.38,1.43,85.44,98.73,0.42
1,33,1,6.04,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,23.48,61.8,68.99,63.34,9.4,79.09,3.92,47.72,44.22,55.26,54.78,79.88,69.08,92.08,94.2,44.53,61.48,99.2,81.26,84.3
1,34,1,5.024,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.9,84.17,44.08,54.27,20.67,4.19,17.15,68.87,90.45,15.04,43.15,69.58,69.41,65.18,53.98,2.49,85.29,2.49,71.14,92.81
1,35,1,5.762,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,64.76,42.9,46.48,1.4,76.13,37.45,6.86,77.67,78.41,97.89,71.01,38.77,63.23,54.42,59.34,53.92,86.1,28.57,34.73,79.08
1,36,1,7.534,0,0,2,2,0,0,1,1,1,1,0,0,0,0,1,0,1,1,2,2,99.75,60.95,90.91,7.54,42.47,94.81,16.74,18.25,18.59,1.88,31.43,49.16,69.4,11.86,20.17,42.87,1.08,60.39,80.09,6.74
1,37,1,6.25,0,1,1,1,0,0,1,1,1,1,1,2,2,1,1,0,0,0,1,0,68,14.71,91.04,44.71,12.56,24.31,95.46,12.12,85.84,9.97,52.71,66.91,88.81,37.07,1.83,31.27,68.91,27.14,65.81,68.31
1,38,1,4.528,0,0,0,0,2,2,2,2,1,1,0,1,1,2,1,1,0,0,1,1,80.09,99.88,99.34,8.51,91.52,42.91,70.81,70.94,23.55,25.8,6.82,70.65,29.74,76.21,64.12,31.14,97.68,96.62,18.85,48.6
1,39,1,4.698,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,40.56,18.12,28.34,64.88,22.14,59.7,77.61,42.41,46.61,38.35,55.36,13.44,57.48,10.96,40.36,14.42,79.34,14.5,2.41,32.77
1,40,1,6.538,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,62.45,30.77,30.66,72.33,13.85,13.82,38.01,12.79,76.27,1.98,98.56,35.15,48.2,1.03,24.11,18.08,56.32,96.18,33.66,5
1,41,1,8.358,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,32.26,83.23,63.88,61,25.28,25.37,43.95,87.74,56.81,15.53,83,34.36,95.72,46.51,73.67,90.66,85.9,16.85,10.07,77.87
1,42,0,5.724,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,64.51,22.15,59.1,40.58,60.62,55.87,95.78,87.82,79.82,91.5,18.22,33.94,86.47,48.09,58.15,74.56,31.59,20.45,54.75,28.98
1,43,0,7.45,2,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,51.38,65.7,52.21,12.27,12.43,89.06,23.08,8.3,56.5,82.61,70.14,97.65,68.33,10.04,6.39,23.17,1.25,61.89,77.79,58.35
1,44,0,9.333,0,0,0,0,1,2,1,1,0,1,1,1,0,0,1,1,0,1,2,1,58.18,83.47,53.68,50.33,64.15,32.1,50.11,38.48,18.94,40.69,80.13,73.96,42.11,79.61,44.65,8.42,7.7,80.99,84.3,24.98
1,45,1,6.477,1,1,0,0,1,1,1,2,1,2,1,1,2,2,0,1,1,1,0,0,37.43,48.95,18.38,52.51,84.66,32.79,7.9,26.59,2.45,37.33,21.28,25.73,24.13,53.25,1.84,65.66,97.27,59.66,43.1,94.79
1,46,0,7.074,1,1,1,0,2,2,1,1,1,1,0,2,1,1,1,0,0,0,1,2,95.88,40.84,45.98,43.89,20.57,42.14,49.95,61.32,30.87,8.84,46.97,96.72,82.93,29.46,68.59,56.04,47.29,64.07,69.48,41.43
1,47,1,8.95,1,1,1,1,1,0,1,2,1,1,1,1,0,0,1,1,1,0,1,1,4.08,92.05,34.85,34.7,13.07,55.37,71,85.07,43.19,24.46,94.14,71.58,44.85,8.39,89.96,41.8,34.88,96.78,22.56,9.73
1,48,1,5.307,1,2,1,1,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,40.19,83.08,37.06,63.56,51.96,44.6,84.62,84.33,78.76,35.03,93.86,93.68,70.98,9.89,79.1,40.55,58.17,31.99,62.27,17.57
1,49,1,8.487,0,0,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.22,15.85,10.22,54.66,17.68,56.1,50.34,3.15,84.79,76.73,38.78,10.81,1.16,50.47,91.75,54.48,30.65,57.22,45.11,60.55
1,50,0,7.109,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,92.33,32.51,26.96,17.99,96.49,0.78,53.23,92.32,28.67,90.21,48.26,15,36.59,22.9,26.41,48.57,47.12,35.12,47.96,32.03
1,51,1,5.878,2,2,2,1,1,2,2,2,2,2,1,0,0,1,2,2,1,0,0,0,67.16,97.8,27.97,35.21,97.47,29.27,99.49,82.95,21.12,91.65,16.71,13.03,2.5,42.83,79.3,1.26,47.27,72.45,73.37,90.19
1,52,1,8.512,1,1,2,2,0,0,1,0,0,0,1,1,0,1,1,2,0,0,0,0,95.92,98.83,40.12,8.43,64.73,22.47,19.57,50.68,62.26,59.8,62.13,41.87,48.27,1.36,10.08,56.53,65.17,2.95,15.66,61.92
1,53,0,8.353,2,1,0,0,1,1,0,0,0,0,2,1,1,1,0,0,1,1,0,0,1.99,40.63,73.53,47.19,91.49,9.93,59.92,39.45,89.97,8.43,67.7,26.27,9.27,48.15,39.6,74.01,35.85,27.92,30.14,67.37
1,54,1,5.292,1,1,1,1,2,2,1,1,0,0,0,1,1,0,0,0,2,2,2,2,7.26,84.36,94.2,94.04,64.34,49.6,17.65,54.62,30.4,5.25,85.93,88.34,55.5,49.13,37.48,19.39,12.08,15.63,76.95,65.34
1,55,0,6.694,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,92.24,97.01,67.25,74.88,25.65,53.3,95.05,16.53,78.9,55.9,39.54,38.9,70.13,8.79,33.03,57.5,38.08,89.06,2.35,5.16
1,56,1,7.42,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,80.99,5.75,94.34,12.51,29.95,33.05,12.82,6.36,22.17,60.98,79.96,13.59,3.63,34.14,42.48,11.9,39.03,51.83,64.73,27.88
1,57,0,6.376,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,0,1,17.06,1.08,24.73,90.43,21.74,10.82,64.16,99.12,87.32,14.67,51.81,93.37,31.98,17.31,89.59,74.23,63.99,31.48,44.52,34.58
1,58,1,6.479,2,2,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,49.72,88.47,61.03,2.85,81.1,5.98,34.49,88.11,22.49,36.54,0.55,67.69,25.98,14.2,73.56,54.25,5.34,11.31,71.42,92.57
1,59,0,7.354,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.89,17.93,82.77,87.42,71.01,96.32,99.41,67.7,79.07,50.38,97.56,27.65,95.89,63.15,57.14,16.92,21.65,77.31,7.02,56.98
1,60,1,6.939,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,56,42.07,36.56,35.12,81.41,65,32.48,3.14,79.01,8.27,94.98,67.04,75.41,46.34,41.25,49.23,96.06,35.86,61.36,63.15
1,61,0,4.468,0,0,0,0,1,1,2,1,1,0,0,0,1,2,1,1,0,0,1,0,16.23,49.86,41.31,71.18,42.23,98.51,79.1,96.02,38.07,10.2,5.46,23.54,33.54,4.72,69.83,68.96,41.97,19.01,33.97,9.39
1,62,1,7.296,2,1,0,0,0,0,1,1,2,2,1,1,0,0,0,0,1,1,1,1,84.64,44.8,57.62,1.65,30.98,15.36,47.76,67.26,92.61,66.61,32.26,1.86,2.38,71.27,38.88,55.73,92.84,39.48,63.42,36.59
1,63,1,7.713,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17.37,61.57,75,88.04,98.68,84.45,13.68,21.86,72,86,24.56,48.07,17.89,18.81,28.28,51.38,95.34,12.2,27.27,43.05
1,64,0,7.762,1,1,0,1,1,1,1,2,0,0,0,0,2,1,0,0,1,1,1,1,74.72,72.78,63.73,28.83,37.18,1.28,5.16,74.31,27.19,66.98,60.55,13.24,73.75,59.89,62.2,18.57,65.42,83.56,57.54,45.48
1,65,1,7.193,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1,31.2,72.81,19.33,10.38,50.13,90.2,34.25,39.79,45.1,55.32,61.71,73.65,90.66,88.69,56.87,1.52,27.86,53.01,84.2,12.82
1,66,0,4.235,0,0,1,1,1,1,1,1,0,0,1,1,2,2,1,1,0,0,1,1,81.53,32.77,3.48,5.63,79.64,82.69,93.85,17.21,37.57,83.26,47.98,58.83,88.76,41.32,21.31,86.89,46,11.24,41.98,1.21
1,67,1,4.701,1,2,1,0,1,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,25.82,77.62,49.61,0.21,92.76,74.49,64.94,93.78,46.02,82.66,73.47,46.42,19.29,8.71,39.91,37.63,27.34,1.27,40.5,43.46
1,68,1,7.227,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,47.08,22.12,76.3,37.34,58.76,30.09,50.64,2.11,18.06,89.03,60.59,50.9,70.27,3.57,94.97,92.31,2.08,2.43,19.99,9.35
1,69,1,8.024,2,1,1,1,1,1,0,0,2,1,1,1,0,0,0,0,0,0,1,1,79.42,50.03,36.33,57.49,56.49,24.71,70.16,35.99,42.77,60.69,75.44,37.69,18.97,43.48,95.62,1.65,82.93,0.88,37.72,46.31
1,70,0,7.703,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,2,1,58.05,11.9,39.38,92.4,33.99,28.66,23.39,90.25,65.72,61.22,95.03,6.18,49.44,91.1,25.77,31.74,29.47,22.07,98.48,61.55
1,71,1,6.689,2,2,0,0,1,1,1,0,0,0,2,1,1,1,0,0,1,0,2,0,5.46,80.01,49.63,25.86,37.93,15.47,47.54,84.68,34.96,54.48,66.28,24.5,45.95,28.87,24.13,35.69,38.47,13.14,84.7,16.72
1,72,1,7.773,2,2,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,44.82,30.74,76.11,60.37,48.14,23.56,65.3,40.58,65.61,78.96,33.07,18.66,64.16,66.15,68.14,31.52,98.17,8.55,51.5,17.63
1,73,1,6.398,1,0,1,1,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,28.13,1.94,46.88,12.32,3.45,87.84,49.49,77.94,30.11,81.25,16.37,82.47,85.3,20.97,33.28,71.79,74.42,6.63,63.56,21.32
1,74,0,7.751,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,2,2,11.38,19.41,12.17,15.43,74.52,67.3,77.05,80.78,51.43,29.52,22.13,2.88,32.22,94.35,14.5,3.34,0.69,34.48,22.87,39.76
1,75,0,7.83,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,1,0,1,45.85,29.09,71.34,17.46,42.42,1.33,30.92,70.91,0.89,55.34,55.21,34.3,54.81,16.72,3.82,63.25,73.64,48.43,47.28,88.93
1,76,1,7.567,0,0,1,1,1,0,1,2,1,1,1,1,1,0,0,1,0,0,0,0,13.23,31.53,84.93,26.54,52.63,19.16,99.55,92.2,32.7,16.62,61.58,12.15,84.75,6.22,44.65,7.48,69.21,27.56,30.4,97.39
1,77,1,6.266,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2,1,83.19,80.15,49.6,22.19,45.22,47.33,43.64,59.54,65.97,45.59,64.04,51.24,73.91,45.56,96.92,97.18,78.43,72.97,2.44,36.06
1,78,1,7.265,0,0,1,1,0,1,2,2,1,2,0,0,0,0,0,0,0,2,2,2,70.15,65.97,33.43,56,70.13,68.98,51.64,62.52,67.69,93.14,93.21,14.68,9.24,82.56,96.18,51.4,6.34,1.79,58.77,59.17
1,79,0,8.664,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,2,43.15,12.19,47.74,18.76,57.69,35.23,77.17,3.46,1.45,70.08,56.02,45,84.25,92.8,33.01,20.51,96.84,62.28,98.08,32.41
1,80,0,5.027,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,52.52,89.04,35.57,69.72,30.71,53.09,49.34,43.38,98,76.25,40.93,18.78,20.38,17.39,29.25,69.15,80.43,92.86,68.13,42.78
1,81,1,8.513,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,73.59,92.44,25.41,62.29,78.97,31.71,78.35,90.91,44.61,96.12,78.83,90.55,93.78,40.19,83.52,42.54,37.95,10.3,7.34,75.2
1,82,1,6.656,1,1,0,0,1,1,1,1,2,2,1,1,0,0,1,2,1,1,2,1,54.04,6.97,94.61,54.84,23.04,23.58,51.32,94.77,47.14,36.92,51.3,58.32,45.57,29.91,21.2,56.65,42.02,64.02,80.56,80.48
1,83,0,8.207,0,1,1,1,1,0,1,1,2,2,0,0,0,1,2,1,0,0,1,1,70.46,13.64,2.29,35.27,83.81,8.42,26.33,78.67,10.22,75.37,54.1,44.13,28.35,0.22,85.32,99.15,21.74,24.1,78.78,44.32
1,84,1,7.433,0,0,0,0,2,1,0,1,0,1,2,2,0,0,1,1,1,1,2,1,16.05,74.47,1.94,62.82,96.36,90.67,44.18,39.56,27.78,84.45,6.32,4.48,40.19,69.05,85.87,44.87,63.01,29.74,77.12,94.83
1,85,0,7.609,1,1,0,0,0,0,1,1,2,2,1,1,2,1,1,1,0,0,0,1,71.36,80.1,36.56,61.66,77.06,6.96,16.25,93.19,53.01,84.75,37.15,61.2,64.28,54.71,95.17,65.8,98.62,74.23,34.61,4.31
1,86,1,8.698,1,0,2,2,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,85.98,50.6,94.34,31.63,73.38,55.66,41.86,78.57,90.11,97.89,66.43,8.43,77.78,78.95,30.46,93.57,42.94,6.66,21.5,41.12
1,87,1,5.858,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,6.46,15.4,65.88,77.84,39.38,92.89,63.97,49.83,81.95,45.09,90.78,81.45,85.01,34.41,24.65,18.63,85.59,73.86,98.18,9.48
1,88,0,5.996,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1,0,1,1,0,75.25,11.11,76.37,94.39,81.11,95.17,82.42,55.68,49.23,91.49,6.05,27.26,36.38,38.84,63.95,85.82,54.55,13.33,71.82,23.58
1,89,1,8.154,1,1,0,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,2,1,94.11,6.26,11.34,0.32,80.99,34.96,64.95,62.87,12.08,18.01,73.75,73.03,79.51,51.85,86.03,29.27,99.62,7.75,46.18,45.42
1,90,0,6.832,0,0,0,0,1,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,91.48,93.05,19.24,19.67,12.56,71.87,4.68,86.22,1.86,61.37,61.37,80.97,76.08,15.41,40.94,75.05,9.22,42.56,18.14,79.64
1,91,1,7.217,0,0,1,1,1,2,1,0,1,1,0,0,0,0,2,1,1,0,1,1,62.47,1.71,76.82,14.27,68.41,67.92,50.34,83.12,13.5,40.97,81.54,40.62,77.3,69.07,55.99,30.76,60.47,92.05,23.77,74.24
1,92,1,5.751,1,0,2,1,1,1,1,2,0,0,0,0,0,0,2,1,1,1,2,2,96.94,3.67,2.51,55.92,62.91,67.73,8.49,14.8,50.37,1.74,37.42,62.68,72.16,33.4,11.58,7.65,64.36,65.19,60.28,96.01
1,93,1,8.327,1,1,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,74.8,31.73,26.25,82.1,53.06,46.61,47.89,61.02,16.19,53.86,15.75,84.85,92.77,52.52,28.25,11.27,29.36,91.1,30.55,18.36
1,94,1,6.254,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,2,1,0,0,0,70.4,84.85,20.99,18.97,27.27,68.61,13.18,34.27,28.64,10.97,71.56,84.12,38.17,38.93,25.93,59.75,7.69,88.9,48.33,68.95
1,95,0,10.262,1,1,2,1,1,0,1,1,1,2,1,0,1,0,0,0,0,0,1,1,8.51,6.07,29.48,4.44,80.49,96.64,59.09,6.64,2.19,75.78,92.52,46.52,96.95,69.64,40.01,6.88,19.03,64.45,38.95,17.52
1,96,1,5.244,0,0,0,1,0,1,0,0,1,1,2,2,0,0,0,0,0,1,2,2,75.21,22.04,98.14,66.26,43.86,10.65,7.65,52.39,5.93,15.9,28.59,74.34,52.26,66.32,68.58,68.35,77.8,63.41,9.95,22.06
1,97,1,7.354,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,1,0,0,0,0,74.5,31.03,89.56,31.77,29.83,55.13,13.93,46.81,15.03,50.77,7.96,71.1,97.89,46.32,71.25,97.84,41.01,62.78,85.17,15.36
1,98,1,9.065,0,0,0,0,1,1,2,2,2,1,0,0,0,1,0,1,1,1,1,1,63.74,58.84,19.93,88.17,31.39,7.16,63.94,64.19,4.4,26.46,51.18,35.45,8.72,83.42,27.6,14.93,64.86,43.74,5.65,33.88
1,99,1,5.557,1,1,2,2,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,24.03,53.92,90.9,82.26,65.88,95,33.44,55.65,31.48,72.92,7.88,22.38,36.21,62.43,34.21,74.65,55.23,15.8,97.87,82.93
1,100,0,8.887,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,97.01,52.13,58.06,33.43,61.74,68.24,63.81,83.52,25.81,90.72,68.54,98.45,12.48,37.13,29.3,49.6,77.75,29.51,98.86,66.21
1,101,1,7.999,0,0,0,0,2,1,1,1,0,0,0,0,1,2,1,1,1,1,0,0,18.46,18.13,38.67,48.4,47.53,75.89,24.18,67.52,47.72,91.37,9.43,58.69,6.71,1.81,26.97,82.67,96.9,39.55,27.97,48.72
1,102,0,8.557,2,0,1,2,2,1,0,0,0,1,0,0,1,1,0,1,2,1,0,0,43.04,47.89,93.16,38.8,64.52,78.07,59.98,37.88,70.9,10.37,78.55,43.64,72.64,40.43,23.81,87.01,95.71,77.38,83.22,26.76
1,103,1,7.993,1,1,0,0,0,0,2,2,1,0,0,0,0,0,1,1,1,1,1,1,6.98,42.03,72.55,30.75,86.1,62.14,39.25,38.18,82.21,29.86,78.89,39.09,33.14,93.62,47.34,4.51,32.85,69.18,26.37,41.95
1,104,1,7.688,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,65.72,33.34,51.4,27.81,47.16,85.39,0.42,68.2,67.17,41.65,41.52,5.77,29.57,6.08,14.72,13.03,21.92,8.76,28.84,40.33
1,105,1,8.021,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,1,2,2,1,0,81.32,57.93,7.77,80.77,35.67,81.08,99.84,66.25,29.61,65.9,75.75,67.99,94.09,70.92,88.32,85.67,54.63,62.15,8.66,68.98
1,106,1,7.132,0,0,2,2,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,65.3,56.64,80.12,93.08,82.29,94.83,38.48,15.97,14.17,99.23,99.25,7.35,9.27,96.8,45.68,89.16,22.81,14.45,7.71,68.28
